date,ticker,raw_avg_sentiment,total_relevance,weighted_sum,article_count,weighted_avg_sentiment
2022-03-03,AAPL,-0.26558699999999996,0.324894,-0.114186638733,3.0,-0.35145813321575653
2022-03-03,ABBV,0.0,0.0,0.0,0.0,0.0
2022-03-03,ACN,0.0,0.0,0.0,0.0,0.0
2022-03-03,ADBE,0.0,0.0,0.0,0.0,0.0
2022-03-03,AMZN,0.0,0.0,0.0,0.0,0.0
2022-03-03,AVGO,0.0,0.0,0.0,0.0,0.0
2022-03-03,BAC,0.0,0.0,0.0,0.0,0.0
2022-03-03,COST,0.022262,0.061253,0.0013636142860000001,1.0,0.022262
2022-03-03,CRM,0.0,0.0,0.0,0.0,0.0
2022-03-03,CVX,-0.002283,0.169318,-0.00038655299399999995,1.0,-0.002283
2022-03-03,GOOG,-0.3970606,0.9496579999999999,-0.397632780364,5.0,-0.4187115575965243
2022-03-03,HD,0.0,0.0,0.0,0.0,0.0
2022-03-03,KO,0.0,0.0,0.0,0.0,0.0
2022-03-03,LLY,0.0,0.0,0.0,0.0,0.0
2022-03-03,MA,-0.1791795,0.146035,-0.04044878019,2.0,-0.27698004033279694
2022-03-03,META,0.0,0.0,0.0,0.0,0.0
2022-03-03,MSFT,-0.186253,0.527322,-0.139486803525,6.0,-0.26451921885489327
2022-03-03,NVDA,0.0,0.0,0.0,0.0,0.0
2022-03-03,ORCL,0.0,0.0,0.0,0.0,0.0
2022-03-03,PEP,0.0,0.0,0.0,0.0,0.0
2022-03-03,PG,0.0,0.0,0.0,0.0,0.0
2022-03-03,TMO,0.0,0.0,0.0,0.0,0.0
2022-03-03,TSLA,0.06912199999999999,0.807956,-1.9295423000005585e-05,5.0,-2.3881774502578835e-05
2022-03-03,UNH,0.0,0.0,0.0,0.0,0.0
2022-03-03,V,-0.337592,0.03647,-0.012311980240000001,1.0,-0.337592
2022-03-03,WMT,-0.210786,0.27242,-0.06372062612000001,2.0,-0.23390582967476695
2022-03-03,XOM,-0.273003,0.49535799999999997,-0.15890373786,7.0,-0.3207856496917381
2022-03-04,AAPL,-0.1250935,0.42565699999999995,-0.040122579697,4.0,-0.09426035445675744
2022-03-04,ABBV,0.0,0.0,0.0,0.0,0.0
2022-03-04,ACN,0.0,0.0,0.0,0.0,0.0
2022-03-04,ADBE,0.0,0.0,0.0,0.0,0.0
2022-03-04,AMZN,-0.07275300000000001,0.113928,0.010184422568,2.0,0.08939349912225265
2022-03-04,AVGO,0.1299435,0.29026399999999997,0.037960698338,2.0,0.13077990497615963
2022-03-04,BAC,-0.19715333333333332,0.25441800000000003,-0.037142194159000004,3.0,-0.14598886147599618
2022-03-04,COST,0.201192,0.069555,0.013993909560000002,1.0,0.201192
2022-03-04,CRM,0.0,0.0,0.0,0.0,0.0
2022-03-04,CVX,0.148148,0.64334,0.01377521168,2.0,0.02141202424845338
2022-03-04,GOOG,-0.1215892,0.16714099999999998,-0.031166814952,5.0,-0.18647019553550598
2022-03-04,HD,0.0,0.0,0.0,0.0,0.0
2022-03-04,KO,0.13438699999999998,0.454361,0.063272889219,2.0,0.13925686671831428
2022-03-04,LLY,0.0,0.0,0.0,0.0,0.0
2022-03-04,MA,-0.49973300000000004,0.049399,-0.040087606277999996,2.0,-0.8115064328832566
2022-03-04,META,0.0,0.0,0.0,0.0,0.0
2022-03-04,MSFT,-0.1557088,0.330674,-0.07171810974800001,5.0,-0.21688463486092044
2022-03-04,NVDA,0.016513,0.105675,0.001884698781,2.0,0.017834859531582682
2022-03-04,ORCL,-0.032751,0.025828,-0.000845892828,1.0,-0.032751
2022-03-04,PEP,0.142007,0.038549,0.005474227843,1.0,0.142007
2022-03-04,PG,-0.109784,0.111436,-0.012233889824,1.0,-0.109784
2022-03-04,TMO,0.0,0.0,0.0,0.0,0.0
2022-03-04,TSLA,-0.09571116666666667,0.341293,-0.023323484821999998,6.0,-0.06833859710571268
2022-03-04,UNH,0.0,0.0,0.0,0.0,0.0
2022-03-04,V,0.012464,0.051629,0.000643503856,1.0,0.012464
2022-03-04,WMT,0.2562405,0.332327,0.084984106191,4.0,0.2557243503868178
2022-03-04,XOM,-0.22140816666666666,0.36595500000000003,-0.060134919939,6.0,-0.16432326362257652
2022-03-05,AAPL,0.04897271428571429,0.80222,0.047670690423,7.0,0.05942346291914936
2022-03-05,ABBV,-0.12410933333333334,0.501986,-0.063970625616,3.0,-0.12743507909782345
2022-03-05,ACN,0.057838,0.577902,0.032169780456,2.0,0.05566649787680263
2022-03-05,ADBE,0.003685,0.564747,0.002081092695,1.0,0.003685
2022-03-05,AMZN,0.0749041,1.605275,0.243461644125,10.0,0.151663511937207
2022-03-05,AVGO,-0.061255399999999995,1.0422310000000001,-0.017776258234999995,5.0,-0.017055967664558042
2022-03-05,BAC,-0.13478125,0.426973,-0.054736202336,8.0,-0.12819593355083345
2022-03-05,COST,0.08413409090909091,2.079795,0.05556697355800002,11.0,0.026717524351198087
2022-03-05,CRM,0.190224,0.006488,0.001234173312,1.0,0.190224
2022-03-05,CVX,-0.216566,0.474395,-0.024565622098000003,2.0,-0.05178305441246219
2022-03-05,GOOG,-0.16851446666666667,1.037847,-0.192689227357,15.0,-0.18566246022486937
2022-03-05,HD,-0.1747995,0.26393,-0.085974372402,2.0,-0.32574687379987116
2022-03-05,KO,-0.031309000000000003,1.018733,-0.106104716722,6.0,-0.10415360719835325
2022-03-05,LLY,0.0,0.0,0.0,0.0,0.0
2022-03-05,MA,0.025513666666666667,0.772702,0.026053699878,3.0,0.033717655548969716
2022-03-05,META,0.0,0.0,0.0,0.0,0.0
2022-03-05,MSFT,-0.09185914285714285,0.447865,-0.105978671861,7.0,-0.23663084157279538
2022-03-05,NVDA,-0.0628545,0.6350290000000001,-0.214737051234,2.0,-0.33815314140614045
2022-03-05,ORCL,-0.340612,0.04794,-0.016328939280000003,1.0,-0.340612
2022-03-05,PEP,0.0,0.0,0.0,0.0,0.0
2022-03-05,PG,-0.00482,0.05724,-0.0002758968,1.0,-0.00482
2022-03-05,TMO,-0.167357,0.20116099999999998,-0.034961165102,2.0,-0.17379693430635165
2022-03-05,TSLA,0.0025217777777777777,1.809626,-0.034189888510999994,9.0,-0.018893345095063838
2022-03-05,UNH,0.16827566666666668,0.875787,0.11609347478200001,3.0,0.13255902951516751
2022-03-05,V,0.07316933333333332,1.0612819999999998,0.018087215737999998,3.0,0.0170427989337424
2022-03-05,WMT,0.06250829999999999,0.7693559999999999,0.035579547948,10.0,0.04624588350256579
2022-03-05,XOM,0.13629633333333332,0.875851,0.133653211235,3.0,0.15259811455943992
2022-03-06,AAPL,-0.49667466666666665,0.36235,-0.17133052234,3.0,-0.47283157814267973
2022-03-06,ABBV,0.420649,0.154479,0.064981436871,1.0,0.420649
2022-03-06,ACN,-0.072955,0.022757,-0.001660236935,1.0,-0.072955
2022-03-06,ADBE,0.0,0.0,0.0,0.0,0.0
2022-03-06,AMZN,-0.479148,1.82945,-0.528168242343,4.0,-0.288703294620241
2022-03-06,AVGO,0.0,0.0,0.0,0.0,0.0
2022-03-06,BAC,0.0,0.0,0.0,0.0,0.0
2022-03-06,COST,0.03810533333333333,1.297458,0.078639753336,3.0,0.06061063505408267
2022-03-06,CRM,0.0,0.0,0.0,0.0,0.0
2022-03-06,CVX,-0.191665,0.37251,-0.07139712915,1.0,-0.191665
2022-03-06,GOOG,-0.326756,1.092434,-0.31598672514,13.0,-0.2892501745093983
