date,ticker,raw_avg_sentiment,total_relevance,weighted_sum,article_count,weighted_avg_sentiment
2026-03-28,ARM,0.362837,2.0,0.725674,2,0.362837
2026-03-30,ARM,-0.410941,1.0,-0.410941,1,-0.410941
2026-03-31,ARM,0.624178,1.0,0.624178,1,0.624178
2026-04-01,ARM,-0.011480999999999993,3.311395,-0.06054790438499997,4,-0.01828471214850538
2026-04-02,ABNB,0.03861633333333333,1.7421609999999998,0.05363380973999998,3,0.030785794045441257
2026-04-02,ARM,-0.317673,1.0,-0.317673,1,-0.317673
2026-04-03,ABNB,-0.120409,0.643825,-0.077522324425,1,-0.120409
2026-04-04,ABNB,0.18422249999999998,2.406921,0.450566849056,4,0.18719635960465672
2026-04-04,ARM,0.185564,1.308123,0.355322069935,2,0.2716274157208458
2026-04-05,ABNB,-0.104448,0.656025,-0.0685204992,1,-0.10444800000000001
2026-04-05,ARM,0.259905,1.0,0.259905,1,0.259905
2026-04-06,ABNB,0.10716866666666668,2.148187,0.294260981009,3,0.13698108265667747
2026-04-06,ARM,0.26059766666666667,3.0,0.7817930000000001,3,0.26059766666666667
2026-04-07,ARM,-0.241147,1.0,-0.241147,1,-0.241147
2026-04-08,ABNB,0.229921,1.723905,0.364733622685,2,0.21157408481615864
2026-04-08,ARM,0.224622,1.317545,0.435442712535,2,0.3304955144112725
2026-04-09,ABNB,0.035741,0.610752,0.021828887232,1,0.035741
2026-04-09,ARM,0.08699075,3.333857,0.332132111605,4,0.09962398255384079
2026-04-10,ABNB,-0.02166,3.254376,-0.163176871005,4,-0.05014075540287907
2026-04-10,ARM,0.38819974999999995,3.961562,1.5275300091339998,4,0.3855878083276243
2026-04-11,ABNB,0.120253,0.594764,0.071522155292,1,0.120253
2026-04-13,ABNB,0.11614574999999999,2.959101,0.410829824232,4,0.13883602629041725
2026-04-13,ARM,0.14489600000000002,3.286029,0.544911706465,4,0.16582680994750806
2026-04-14,ABNB,0.09083025,2.379086,0.222005844392,4,0.09331560287942513
2026-04-14,ACN,0.24411100000000005,3.927298,0.993696966561,6,0.2530230623092518
2026-04-14,ARM,0.11623549999999999,3.315307,0.435305063495,4,0.1313015848894235
2026-04-15,ABBV,0.1053075,6.1391089999999995,0.537164790456,8,0.0874988195283713
2026-04-15,ABNB,0.11728575000000001,2.6546950000000002,0.3968329929900001,4,0.14948345967804214
2026-04-15,ACN,0.13442118181818183,6.790366,0.902852339204,11,0.13296077696018152
2026-04-15,ARM,0.449667,1.0,0.449667,1,0.449667
2026-04-16,ABBV,0.210644,10.580379,2.425043074336,13,0.22920190990663
2026-04-16,ABNB,-0.0023585999999999998,4.608719,-0.05714183995500001,5,-0.01239863831034177
2026-04-16,ACN,0.22413,3.5303389999999997,0.872058089017,5,0.24701822941564539
2026-04-16,ARM,0.1178225,7.312576,0.910898690112,8,0.12456604760237705
2026-04-17,ABBV,0.15042614285714287,5.510887,1.031336048767,7,0.18714519981393193
2026-04-17,ABNB,0.10429300000000001,4.8626119999999995,0.548974626066,6,0.11289706562357846
2026-04-17,ACN,0.17728675,5.081498,0.942676752447,8,0.18551158584476468
2026-04-17,AMGN,0.04000483333333333,8.773669,0.7982899207329999,12,0.09098701133277308
2026-04-17,ARM,0.36733,2.0,0.73466,2,0.36733
2026-04-17,AVGO,0.31093516666666665,4.9776299999999996,1.641453069906,6,0.32976598700706966
2026-04-18,ABBV,0.26159414285714283,6.185073,1.7718115590469998,7,0.28646574729950636
2026-04-18,ABNB,0.10363933333333335,2.175808,0.215797552672,3,0.09918042064005647
2026-04-18,ACN,0.23300925,2.8732699999999998,0.742441784269,4,0.2583961076644381
2026-04-18,ADBE,0.03220875,7.478192,0.16679732150800008,8,0.022304498401217846
2026-04-18,AMGN,0.220267375,6.194751,1.5407375078949999,8,0.24871661635713846
2026-04-18,ARM,0.293007,1.0,0.293007,1,0.293007
2026-04-18,AVGO,0.1993176923076923,8.800051,1.9173431690170002,13,0.21787864286434253
2026-04-19,ABBV,0.2979233333333333,2.179935,0.685246412217,3,0.3143425892134399
2026-04-19,ABNB,-0.169054,0.584276,-0.09877419490400001,1,-0.169054
2026-04-19,ACN,0.223766625,5.718009,1.4250808157269998,8,0.24922675283074927
2026-04-19,ADBE,0.004501928571428569,11.748931,-0.13864903197599998,14,-0.011800991254097924
2026-04-19,AMGN,0.23933077777777775,6.83379,1.988876227372,9,0.2910356079674676
2026-04-19,ARM,0.254192,1.0,0.254192,1,0.254192
2026-04-19,AVGO,0.170584,6.329239,1.137313269291,10,0.17969194547575149
2026-04-20,AAPL,0.16189727906976745,32.662769,5.748381673651,43,0.17599186626372676
2026-04-20,ABBV,0.21373833333333334,7.65798,1.69651565916,9,0.22153566073037537
2026-04-20,ABNB,0.0031334999999999974,1.262013,-0.0005533019270000106,2,-0.0004384280724525108
2026-04-20,ACN,0.23680675,2.5119320000000003,0.5947399757030001,4,0.23676595373720308
2026-04-20,ADBE,0.34528329166666666,20.796637,7.906032429199,24,0.38015917810168054
2026-04-20,AMD,0.19596605263157893,27.367594,6.009507852456,38,0.21958480721600884
2026-04-20,AMGN,0.2768700625,12.732296999999999,4.014486608452,16,0.3152994788333951
2026-04-20,AMZN,0.1879275,10.023306999999999,2.007744785972,14,0.20030762162348217
2026-04-20,ARM,0.36808833333333335,3.0,1.104265,3,0.36808833333333335
2026-04-20,AVGO,0.15196025,11.19575,1.788927713217,16,0.15978632188258937
2026-04-21,AAPL,0.17712371428571427,4.744394,0.8694093423879999,7,0.18324981913137905
2026-04-21,ABBV,0.32889466666666667,2.635938,0.94851573992,3,0.35983992791939723
2026-04-21,ABNB,-0.102671,0.572015,-0.058729352065000004,1,-0.102671
2026-04-21,ACN,0.21139924999999998,2.629331,0.563929801181,4,0.21447653459416102
2026-04-21,ADBE,0.23854025,2.841878,0.702693109132,4,0.24726364366521011
2026-04-21,AMD,0.24096916666666668,9.446935,2.51602466177,12,0.26633237783154007
2026-04-21,AMGN,0.2946704,4.330643,1.461739994764,5,0.33753417096814486
2026-04-21,AMZN,0.18101852777777777,24.671964,4.951197507939,36,0.20068112566713375
2026-04-21,AVGO,0.10588299999999999,3.631864,0.35374759525399996,5,0.09740111283186814
